stage,normal_scenario,attack_type,dataset_size,seed,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,mean_attack_mimicry_distance,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.2674056765291324,0.0,32.0,8.0
hardened_v3_event,normal_nat_burst,gradual_exfiltration,1110.0,44.0,0.0006944444444444444,0.0027777777777777775,0.0,0.0027777777777777775,5.0,0.28435800029184566,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,1110.0,44.0,0.0006944444444444444,0.0027777777777777775,0.0027777777777777775,0.0,5.0,0.3341867176768829,1.0,48.0,12.0
hardened_v3_event,normal_nat_burst,session_replay_chain,1110.0,44.0,0.009027777777777777,0.03611111111111111,0.0,0.03611111111111111,5.0,0.3384932242390412,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,slow_credential_probe,1110.0,44.0,0.0013888888888888887,0.005555555555555555,0.0,0.005555555555555555,5.0,0.314263811284225,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.29075965465652914,0.0,48.0,12.0
hardened_v3_event,normal_staggered,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.27231305347203194,0.0,32.0,8.0
hardened_v3_event,normal_staggered,gradual_exfiltration,1110.0,44.0,0.0006944444444444444,0.0027777777777777775,0.0,0.0027777777777777775,5.0,0.29344623256899977,0.0,48.0,12.0
hardened_v3_event,normal_staggered,profile_poisoning_chain,1110.0,44.0,0.003472222222222222,0.01111111111111111,0.01111111111111111,0.0027777777777777775,5.0,0.3342257241667922,1.0,48.0,12.0
hardened_v3_event,normal_staggered,session_replay_chain,1110.0,44.0,0.007638888888888889,0.030555555555555555,0.0,0.030555555555555555,5.0,0.332680013261933,0.0,48.0,12.0
hardened_v3_event,normal_staggered,slow_credential_probe,1110.0,44.0,0.004166666666666667,0.016666666666666666,0.01111111111111111,0.005555555555555555,5.0,0.3232875728700646,0.0,48.0,12.0
hardened_v3_event,normal_staggered,stealth_mimicry_ato,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.2998971084448092,0.0,48.0,12.0
sequence_v4,normal_nat_burst,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.2674056765291324,0.0,32.0,8.0
sequence_v4,normal_nat_burst,gradual_exfiltration,1110.0,44.0,0.005555555555555555,0.02222222222222222,0.0,0.02222222222222222,5.0,0.28435800029184566,0.0,48.0,12.0
sequence_v4,normal_nat_burst,profile_poisoning_chain,1110.0,44.0,0.13541666666666666,0.4027777777777778,0.14444444444444443,0.36944444444444446,4.683333333333334,0.3341867176768829,1.0,48.0,12.0
sequence_v4,normal_nat_burst,session_replay_chain,1110.0,44.0,0.3152777777777778,0.8666666666666667,0.3861111111111111,0.8666666666666667,3.75,0.3384932242390412,0.0,48.0,12.0
sequence_v4,normal_nat_burst,slow_credential_probe,1110.0,44.0,0.004166666666666667,0.016666666666666666,0.0,0.016666666666666666,5.0,0.314263811284225,0.0,48.0,12.0
sequence_v4,normal_nat_burst,stealth_mimicry_ato,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.29075965465652914,0.0,48.0,12.0
sequence_v4,normal_staggered,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,0.0,5.0,0.27231305347203194,0.0,32.0,8.0
sequence_v4,normal_staggered,gradual_exfiltration,1110.0,44.0,0.008333333333333333,0.03333333333333333,0.0,0.03333333333333333,5.0,0.29344623256899977,0.0,48.0,12.0
sequence_v4,normal_staggered,profile_poisoning_chain,1110.0,44.0,0.09097222222222222,0.2833333333333333,0.09722222222222222,0.26666666666666666,4.95,0.3342257241667922,1.0,48.0,12.0
sequence_v4,normal_staggered,session_replay_chain,1110.0,44.0,0.25972222222222224,0.7722222222222223,0.26666666666666666,0.7722222222222223,3.9833333333333334,0.332680013261933,0.0,48.0,12.0
sequence_v4,normal_staggered,slow_credential_probe,1110.0,44.0,0.005555555555555555,0.02222222222222222,0.01111111111111111,0.01111111111111111,5.0,0.3232875728700646,0.0,48.0,12.0
sequence_v4,normal_staggered,stealth_mimicry_ato,1110.0,44.0,0.0013888888888888887,0.005555555555555555,0.0,0.005555555555555555,5.0,0.2998971084448092,0.0,48.0,12.0
