stage,dataset_size,seed,normal_scenario,attack_type,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,mean_attack_mimicry_distance,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2851431519024096,0.0,48,12
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3081362716847189,0.0,48,12
hardened_v3_event,10,42,normal_staggered,session_replay_chain,0.0,0.0,0.0,0.0,5.0,0.3221503882345709,0.0,48,12
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.28014389019237923,0.0,48,12
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2587961285310535,0.0,32,8
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3216196162714628,1.0,48,12
sequence_v4,10,42,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2851431519024096,0.0,48,12
sequence_v4,10,42,normal_staggered,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.3081362716847189,0.0,48,12
sequence_v4,10,42,normal_staggered,session_replay_chain,0.14583333333333334,0.5833333333333334,0.0,0.5833333333333334,4.0,0.3221503882345709,0.0,48,12
sequence_v4,10,42,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.28014389019237923,0.0,48,12
sequence_v4,10,42,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2587961285310535,0.0,32,8
sequence_v4,10,42,normal_staggered,profile_poisoning_chain,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3216196162714628,1.0,48,12
hardened_v3_event,10,42,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.290456409413484,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.31420304204221133,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,session_replay_chain,0.0625,0.25,0.0,0.25,5.0,0.33909357326996453,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2891951449265406,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.26199748736209066,0.0,32,8
hardened_v3_event,10,42,normal_nat_burst,profile_poisoning_chain,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0,5.0,0.3351559368599602,1.0,48,12
sequence_v4,10,42,normal_nat_burst,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.290456409413484,0.0,48,12
sequence_v4,10,42,normal_nat_burst,slow_credential_probe,0.0,0.0,0.0,0.0,5.0,0.31420304204221133,0.0,48,12
sequence_v4,10,42,normal_nat_burst,session_replay_chain,0.3125,0.75,0.5,0.75,3.5,0.33909357326996453,0.0,48,12
sequence_v4,10,42,normal_nat_burst,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.2891951449265406,0.0,48,12
sequence_v4,10,42,normal_nat_burst,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.26199748736209066,0.0,32,8
sequence_v4,10,42,normal_nat_burst,profile_poisoning_chain,0.14583333333333334,0.5,0.08333333333333333,0.5,4.5,0.3351559368599602,1.0,48,12
hardened_v3_event,10,43,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2904708355706814,0.0,48,12
hardened_v3_event,10,43,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3164425239913737,0.0,48,12
hardened_v3_event,10,43,normal_staggered,session_replay_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.3316762350217387,0.0,48,12
hardened_v3_event,10,43,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.28687174916013913,0.0,48,12
hardened_v3_event,10,43,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2561884005454843,0.0,32,8
hardened_v3_event,10,43,normal_staggered,profile_poisoning_chain,0.0,0.0,0.0,0.0,5.0,0.3268155857618631,1.0,48,12
sequence_v4,10,43,normal_staggered,stealth_mimicry_ato,0.0,0.0,0.0,0.0,5.0,0.2904708355706814,0.0,48,12
sequence_v4,10,43,normal_staggered,slow_credential_probe,0.020833333333333332,0.08333333333333333,0.0,0.08333333333333333,5.0,0.3164425239913737,0.0,48,12
sequence_v4,10,43,normal_staggered,session_replay_chain,0.25,0.75,0.25,0.75,4.0,0.3316762350217387,0.0,48,12
sequence_v4,10,43,normal_staggered,gradual_exfiltration,0.0,0.0,0.0,0.0,5.0,0.28687174916013913,0.0,48,12
sequence_v4,10,43,normal_staggered,distributed_lateral_drift,0.0,0.0,0.0,0.0,5.0,0.2561884005454843,0.0,32,8
sequence_v4,10,43,normal_staggered,profile_poisoning_chain,0.041666666666666664,0.16666666666666666,0.0,0.16666666666666666,5.0,0.3268155857618631,1.0,48,12
