stage,normal_scenario,attack_type,phase_index,dataset_size,seed,challenge_recall,mean_score,mean_mimicry_distance
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,1,1110.0,44.0,0.0,0.23016666666666669,0.25867317764096887
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,2,1110.0,44.0,0.0,0.3229166666666667,0.2668554866957514
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,3,1110.0,44.0,0.0,0.326875,0.27451789577164576
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,4,1110.0,44.0,0.0,0.32075000000000004,0.2695761460081635
hardened_v3_event,normal_nat_burst,gradual_exfiltration,1,1110.0,44.0,0.0,0.2450277777777778,0.26711811743871106
hardened_v3_event,normal_nat_burst,gradual_exfiltration,2,1110.0,44.0,0.0,0.15511111111111112,0.26113208710810365
hardened_v3_event,normal_nat_burst,gradual_exfiltration,3,1110.0,44.0,0.0,0.3038055555555556,0.30540598481911624
hardened_v3_event,normal_nat_burst,gradual_exfiltration,4,1110.0,44.0,0.0027777777777777775,0.24616666666666667,0.30377581180145174
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,1,1110.0,44.0,0.0,0.25322222222222224,0.2830669171332207
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,2,1110.0,44.0,0.0,0.34358333333333335,0.31119050678532767
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,3,1110.0,44.0,0.0027777777777777775,0.39227777777777784,0.3496321632243419
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,4,1110.0,44.0,0.0,0.3787222222222223,0.3928572835646415
hardened_v3_event,normal_nat_burst,session_replay_chain,1,1110.0,44.0,0.0,0.2535,0.2780541596991319
hardened_v3_event,normal_nat_burst,session_replay_chain,2,1110.0,44.0,0.0,0.2521388888888889,0.3149495669244063
hardened_v3_event,normal_nat_burst,session_replay_chain,3,1110.0,44.0,0.0,0.29336111111111113,0.35679584136149795
hardened_v3_event,normal_nat_burst,session_replay_chain,4,1110.0,44.0,0.03611111111111111,0.40166666666666667,0.40417332897112884
hardened_v3_event,normal_nat_burst,slow_credential_probe,1,1110.0,44.0,0.0,0.3218611111111111,0.2823693154749482
hardened_v3_event,normal_nat_burst,slow_credential_probe,2,1110.0,44.0,0.0,0.22383333333333333,0.26155767883789954
hardened_v3_event,normal_nat_burst,slow_credential_probe,3,1110.0,44.0,0.0,0.43494444444444447,0.32171981552321244
hardened_v3_event,normal_nat_burst,slow_credential_probe,4,1110.0,44.0,0.005555555555555555,0.3298333333333333,0.39140843530083974
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,1,1110.0,44.0,0.0,0.24580555555555558,0.2620948587591888
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,2,1110.0,44.0,0.0,0.15452777777777776,0.2580380173987871
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,3,1110.0,44.0,0.0,0.27222222222222225,0.313709410420849
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,4,1110.0,44.0,0.0,0.18294444444444444,0.32919633204729154
hardened_v3_event,normal_staggered,distributed_lateral_drift,1,1110.0,44.0,0.0,0.24108333333333334,0.269623268875553
hardened_v3_event,normal_staggered,distributed_lateral_drift,2,1110.0,44.0,0.0,0.31054166666666666,0.2746197255913173
hardened_v3_event,normal_staggered,distributed_lateral_drift,3,1110.0,44.0,0.0,0.28758333333333336,0.2724549909687689
hardened_v3_event,normal_staggered,distributed_lateral_drift,4,1110.0,44.0,0.0,0.28475,0.27255422845248867
hardened_v3_event,normal_staggered,gradual_exfiltration,1,1110.0,44.0,0.0,0.2186388888888889,0.2664333434136861
hardened_v3_event,normal_staggered,gradual_exfiltration,2,1110.0,44.0,0.0,0.17105555555555557,0.2799770424666139
hardened_v3_event,normal_staggered,gradual_exfiltration,3,1110.0,44.0,0.0,0.27494444444444444,0.30478106139162525
hardened_v3_event,normal_staggered,gradual_exfiltration,4,1110.0,44.0,0.0027777777777777775,0.28605555555555556,0.3225934830040737
hardened_v3_event,normal_staggered,profile_poisoning_chain,1,1110.0,44.0,0.0,0.12172222222222223,0.2772907359648116
