stage,dataset_size,seed,normal_scenario,attack_type,phase_index,challenge_recall,mean_score,mean_mimicry_distance
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,1,0.0,0.2316666666666667,0.2448839586765682
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,2,0.0,0.26499999999999996,0.26620662260875533
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,3,0.0,0.26499999999999996,0.29637234070586144
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,4,0.0,0.24333333333333332,0.33310968561845317
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,1,0.0,0.2241666666666667,0.26792794534673475
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,2,0.0,0.19083333333333333,0.26818298973651705
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,3,0.0,0.375,0.30155110681452313
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,4,0.0,0.32666666666666666,0.39488304484110087
hardened_v3_event,10,42,normal_staggered,session_replay_chain,1,0.0,0.18666666666666668,0.26487072134264544
hardened_v3_event,10,42,normal_staggered,session_replay_chain,2,0.0,0.18666666666666668,0.29688862005035804
hardened_v3_event,10,42,normal_staggered,session_replay_chain,3,0.0,0.1925,0.3393484307258312
hardened_v3_event,10,42,normal_staggered,session_replay_chain,4,0.0,0.33666666666666667,0.3874937808194487
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,1,0.0,0.2316666666666667,0.24998123848088574
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,2,0.0,0.26499999999999996,0.2673931177127324
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,3,0.0,0.27083333333333326,0.291015709561792
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,4,0.0,0.31000000000000005,0.3121854950141068
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,1,0.0,0.30000000000000004,0.2516616237386737
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,2,0.0,0.36375,0.26759983547069255
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,3,0.0,0.28,0.25118127364695575
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,4,0.0,0.275,0.2647417812678918
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,1,0.0,0.18666666666666668,0.26851411394688374
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,2,0.0,0.26499999999999996,0.2988947809447791
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,3,0.0,0.385,0.3363768886336242
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,4,0.0,0.4083333333333334,0.3826926815605642
sequence_v4,10,42,normal_staggered,stealth_mimicry_ato,1,0.0,0.2556333333333333,0.2448839586765682
sequence_v4,10,42,normal_staggered,stealth_mimicry_ato,2,0.0,0.28537944646195923,0.26620662260875533
sequence_v4,10,42,normal_staggered,stealth_mimicry_ato,3,0.0,0.33032656980644987,0.29637234070586144
sequence_v4,10,42,normal_staggered,stealth_mimicry_ato,4,0.0,0.393943778297213,0.33310968561845317
sequence_v4,10,42,normal_staggered,slow_credential_probe,1,0.0,0.30150000000000005,0.26792794534673475
sequence_v4,10,42,normal_staggered,slow_credential_probe,2,0.0,0.32558105164451573,0.26818298973651705
sequence_v4,10,42,normal_staggered,slow_credential_probe,3,0.0,0.39366985376587005,0.30155110681452313
sequence_v4,10,42,normal_staggered,slow_credential_probe,4,0.0,0.3941923063404163,0.39488304484110087
sequence_v4,10,42,normal_staggered,session_replay_chain,1,0.0,0.24819999999999998,0.26487072134264544
sequence_v4,10,42,normal_staggered,session_replay_chain,2,0.0,0.4190593541976375,0.29688862005035804
sequence_v4,10,42,normal_staggered,session_replay_chain,3,0.0,0.62759473099399,0.3393484307258312
sequence_v4,10,42,normal_staggered,session_replay_chain,4,0.5833333333333334,0.8643374914451457,0.3874937808194487
sequence_v4,10,42,normal_staggered,gradual_exfiltration,1,0.0,0.2556333333333333,0.24998123848088574
sequence_v4,10,42,normal_staggered,gradual_exfiltration,2,0.0,0.28537944646195923,0.2673931177127324
