stage,normal_scenario,dataset_size,seed,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,challenge_fpr,warn_fpr,mean_attack_mimicry_distance,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,normal_nat_burst,10,44.0,0.0125,0.05,0.0029411764705882353,0.04705882352941177,5.0,0.0,0.0,0.3006896668390084,1.0,24.0,272.0,68.0
hardened_v3_event,normal_nat_burst,50,44.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0016666666666666666,0.31390244481047813,1.0,120.0,272.0,68.0
hardened_v3_event,normal_nat_burst,100,44.0,0.0,0.0,0.0,0.0,5.0,0.003333333333333333,0.0075,0.3154309665878364,1.0,240.0,272.0,68.0
hardened_v3_event,normal_nat_burst,500,44.0,0.0,0.0,0.0,0.0,5.0,0.0018333333333333333,0.0018333333333333333,0.3013742941351493,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_nat_burst,1000,44.0,0.0,0.0,0.0,0.0,5.0,0.00225,0.00225,0.3055639052965284,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_nat_burst,5000,44.0,0.0,0.0,0.0,0.0,5.0,0.0015,0.0015,0.30574304380294165,1.0,12000.0,272.0,68.0
hardened_v3_event,normal_staggered,10,44.0,0.011029411764705883,0.0411764705882353,0.011764705882352941,0.03235294117647059,5.0,0.0,0.024999999999999998,0.3032103049705729,1.0,24.0,272.0,68.0
hardened_v3_event,normal_staggered,50,44.0,0.0007352941176470588,0.0029411764705882353,0.0,0.0029411764705882353,5.0,0.0016666666666666666,0.011666666666666667,0.3196773684859262,1.0,120.0,272.0,68.0
hardened_v3_event,normal_staggered,100,44.0,0.0007352941176470588,0.0029411764705882353,0.0029411764705882353,0.0,5.0,0.0,0.0008333333333333333,0.3157468110137306,1.0,240.0,272.0,68.0
hardened_v3_event,normal_staggered,500,44.0,0.0014705882352941176,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,0.0018333333333333333,0.0023333333333333335,0.31061372193081793,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_staggered,1000,44.0,0.0014705882352941176,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,0.0013333333333333335,0.001583333333333333,0.3118542592147239,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_staggered,5000,44.0,0.0014705882352941176,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,0.0014833333333333335,0.0016833333333333331,0.3078043794013558,1.0,12000.0,272.0,68.0
sequence_v4,normal_nat_burst,10,44.0,0.0625,0.2,0.05,0.2,5.0,0.0,0.0,0.3006896668390084,1.0,24.0,272.0,68.0
sequence_v4,normal_nat_burst,50,44.0,0.075,0.22647058823529412,0.07941176470588236,0.22058823529411767,5.0,0.0,0.0016666666666666666,0.31390244481047813,1.0,120.0,272.0,68.0
sequence_v4,normal_nat_burst,100,44.0,0.06911764705882353,0.20294117647058824,0.0823529411764706,0.19411764705882353,5.0,0.05500000000000001,0.059166666666666666,0.3154309665878364,1.0,240.0,272.0,68.0
sequence_v4,normal_nat_burst,500,44.0,0.08235294117647059,0.23823529411764705,0.07941176470588236,0.23823529411764705,5.0,0.1135,0.1135,0.3013742941351493,1.0,1200.0,272.0,68.0
sequence_v4,normal_nat_burst,1000,44.0,0.09338235294117647,0.24705882352941178,0.12058823529411766,0.24411764705882355,5.0,0.11841666666666666,0.11841666666666666,0.3055639052965284,1.0,2400.0,272.0,68.0
sequence_v4,normal_nat_burst,5000,44.0,0.10514705882352941,0.2705882352941177,0.15,0.2529411764705882,5.0,0.12138333333333333,0.12138333333333333,0.30574304380294165,1.0,12000.0,272.0,68.0
sequence_v4,normal_staggered,10,44.0,0.05955882352941176,0.19411764705882353,0.05,0.18823529411764706,5.0,0.0,0.024999999999999998,0.3032103049705729,1.0,24.0,272.0,68.0
sequence_v4,normal_staggered,50,44.0,0.0625,0.2088235294117647,0.052941176470588235,0.1970588235294118,5.0,0.013333333333333332,0.023333333333333334,0.3196773684859262,1.0,120.0,272.0,68.0
sequence_v4,normal_staggered,100,44.0,0.061764705882352944,0.19705882352941176,0.052941176470588235,0.19411764705882353,5.0,0.020833333333333336,0.021666666666666667,0.3157468110137306,1.0,240.0,272.0,68.0
sequence_v4,normal_staggered,500,44.0,0.05367647058823529,0.16764705882352943,0.04705882352941177,0.16764705882352943,5.0,0.06166666666666667,0.062,0.31061372193081793,1.0,1200.0,272.0,68.0
sequence_v4,normal_staggered,1000,44.0,0.07426470588235294,0.21176470588235294,0.08823529411764705,0.2088235294117647,5.0,0.072,0.07208333333333333,0.3118542592147239,1.0,2400.0,272.0,68.0
sequence_v4,normal_staggered,5000,44.0,0.07573529411764705,0.20294117647058824,0.10588235294117647,0.1970588235294118,5.0,0.07316666666666667,0.07331666666666667,0.3078043794013558,1.0,12000.0,272.0,68.0
