stage,dataset_size,seed,normal_scenario,event_challenge_recall,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,challenge_fpr,warn_fpr,mean_attack_mimicry_distance,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,10,42,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.041666666666666664,0.2981866007011018,1.0,24,272,68
sequence_v4,10,42,normal_staggered,0.029411764705882353,0.11764705882352941,0.0,0.11764705882352941,5.0,0.0,0.041666666666666664,0.2981866007011018,1.0,24,272,68
hardened_v3_event,10,42,normal_nat_burst,0.014705882352941176,0.058823529411764705,0.014705882352941176,0.04411764705882353,5.0,0.0,0.0,0.3075474878976861,1.0,24,272,68
sequence_v4,10,42,normal_nat_burst,0.08088235294117647,0.22058823529411764,0.10294117647058823,0.22058823529411764,5.0,0.0,0.0,0.3075474878976861,1.0,24,272,68
hardened_v3_event,10,43,normal_staggered,0.011029411764705883,0.04411764705882353,0.0,0.04411764705882353,5.0,0.0,0.0,0.30407103468284447,1.0,24,272,68
sequence_v4,10,43,normal_staggered,0.05514705882352941,0.17647058823529413,0.04411764705882353,0.17647058823529413,5.0,0.0,0.0,0.30407103468284447,1.0,24,272,68
hardened_v3_event,10,43,normal_nat_burst,0.011029411764705883,0.04411764705882353,0.0,0.04411764705882353,5.0,0.0,0.0,0.2982077333550778,1.0,24,272,68
sequence_v4,10,43,normal_nat_burst,0.0625,0.20588235294117646,0.04411764705882353,0.20588235294117646,5.0,0.0,0.0,0.2982077333550778,1.0,24,272,68
hardened_v3_event,10,44,normal_staggered,0.01838235294117647,0.07352941176470588,0.029411764705882353,0.04411764705882353,5.0,0.0,0.08333333333333333,0.30493278821688913,1.0,24,272,68
sequence_v4,10,44,normal_staggered,0.07720588235294118,0.2647058823529412,0.058823529411764705,0.25,5.0,0.0,0.08333333333333333,0.30493278821688913,1.0,24,272,68
hardened_v3_event,10,44,normal_nat_burst,0.007352941176470588,0.029411764705882353,0.0,0.029411764705882353,5.0,0.0,0.0,0.30133615815516945,1.0,24,272,68
sequence_v4,10,44,normal_nat_burst,0.058823529411764705,0.20588235294117646,0.029411764705882353,0.20588235294117646,5.0,0.0,0.0,0.30133615815516945,1.0,24,272,68
hardened_v3_event,10,45,normal_staggered,0.022058823529411766,0.07352941176470588,0.029411764705882353,0.058823529411764705,5.0,0.0,0.0,0.307623274040024,1.0,24,272,68
sequence_v4,10,45,normal_staggered,0.07720588235294118,0.23529411764705882,0.08823529411764706,0.22058823529411764,5.0,0.0,0.0,0.307623274040024,1.0,24,272,68
hardened_v3_event,10,45,normal_nat_burst,0.01838235294117647,0.07352941176470588,0.0,0.07352941176470588,5.0,0.0,0.0,0.29638729684615694,1.0,24,272,68
sequence_v4,10,45,normal_nat_burst,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.17647058823529413,5.0,0.0,0.0,0.29638729684615694,1.0,24,272,68
hardened_v3_event,10,46,normal_staggered,0.003676470588235294,0.014705882352941176,0.0,0.014705882352941176,5.0,0.0,0.0,0.3012378272120048,1.0,24,272,68
sequence_v4,10,46,normal_staggered,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.17647058823529413,5.0,0.0,0.0,0.3012378272120048,1.0,24,272,68
hardened_v3_event,10,46,normal_nat_burst,0.011029411764705883,0.04411764705882353,0.0,0.04411764705882353,5.0,0.0,0.0,0.2999696579409517,1.0,24,272,68
sequence_v4,10,46,normal_nat_burst,0.051470588235294115,0.19117647058823528,0.014705882352941176,0.19117647058823528,5.0,0.0,0.0,0.2999696579409517,1.0,24,272,68
hardened_v3_event,50,42,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.016666666666666666,0.31306458626656924,1.0,120,272,68
sequence_v4,50,42,normal_staggered,0.0625,0.19117647058823528,0.07352941176470588,0.17647058823529413,5.0,0.0,0.016666666666666666,0.31306458626656924,1.0,120,272,68
hardened_v3_event,50,42,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.008333333333333333,0.322736211694549,1.0,120,272,68
sequence_v4,50,42,normal_nat_burst,0.09558823529411764,0.25,0.14705882352941177,0.23529411764705882,5.0,0.0,0.008333333333333333,0.322736211694549,1.0,120,272,68
hardened_v3_event,50,43,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.008333333333333333,0.3232341804883011,1.0,120,272,68
sequence_v4,50,43,normal_staggered,0.07720588235294118,0.2647058823529412,0.07352941176470588,0.23529411764705882,5.0,0.008333333333333333,0.016666666666666666,0.3232341804883011,1.0,120,272,68
hardened_v3_event,50,43,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3083973233819525,1.0,120,272,68
sequence_v4,50,43,normal_nat_burst,0.0661764705882353,0.22058823529411764,0.058823529411764705,0.20588235294117646,5.0,0.0,0.0,0.3083973233819525,1.0,120,272,68
hardened_v3_event,50,44,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.008333333333333333,0.31874696792317264,1.0,120,272,68
sequence_v4,50,44,normal_staggered,0.051470588235294115,0.19117647058823528,0.014705882352941176,0.19117647058823528,5.0,0.0,0.008333333333333333,0.31874696792317264,1.0,120,272,68
hardened_v3_event,50,44,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3177883568424833,1.0,120,272,68
sequence_v4,50,44,normal_nat_burst,0.0661764705882353,0.20588235294117646,0.058823529411764705,0.20588235294117646,5.0,0.0,0.0,0.3177883568424833,1.0,120,272,68
hardened_v3_event,50,45,normal_staggered,0.003676470588235294,0.014705882352941176,0.0,0.014705882352941176,5.0,0.0,0.0,0.3188663142906462,1.0,120,272,68
sequence_v4,50,45,normal_staggered,0.04779411764705882,0.17647058823529413,0.029411764705882353,0.16176470588235295,5.0,0.0,0.0,0.3188663142906462,1.0,120,272,68
hardened_v3_event,50,45,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3114295554759302,1.0,120,272,68
sequence_v4,50,45,normal_nat_burst,0.06985294117647059,0.22058823529411764,0.058823529411764705,0.22058823529411764,5.0,0.0,0.0,0.3114295554759302,1.0,120,272,68
hardened_v3_event,50,46,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.008333333333333333,0.025,0.3244747934609419,1.0,120,272,68
sequence_v4,50,46,normal_staggered,0.07352941176470588,0.22058823529411764,0.07352941176470588,0.22058823529411764,5.0,0.058333333333333334,0.075,0.3244747934609419,1.0,120,272,68
hardened_v3_event,50,46,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.30916077665747554,1.0,120,272,68
sequence_v4,50,46,normal_nat_burst,0.07720588235294118,0.23529411764705882,0.07352941176470588,0.23529411764705882,5.0,0.0,0.0,0.30916077665747554,1.0,120,272,68
hardened_v3_event,100,42,normal_staggered,0.003676470588235294,0.014705882352941176,0.014705882352941176,0.0,5.0,0.0,0.0,0.3161048804696001,1.0,240,272,68
sequence_v4,100,42,normal_staggered,0.058823529411764705,0.19117647058823528,0.058823529411764705,0.17647058823529413,5.0,0.03333333333333333,0.03333333333333333,0.3161048804696001,1.0,240,272,68
hardened_v3_event,100,42,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.008333333333333333,0.008333333333333333,0.32155039894909254,1.0,240,272,68
sequence_v4,100,42,normal_nat_burst,0.09191176470588236,0.25,0.11764705882352941,0.25,5.0,0.05416666666666667,0.05416666666666667,0.32155039894909254,1.0,240,272,68
hardened_v3_event,100,43,normal_staggered,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3175587966444805,1.0,240,272,68
sequence_v4,100,43,normal_staggered,0.0625,0.20588235294117646,0.04411764705882353,0.20588235294117646,5.0,0.0125,0.0125,0.3175587966444805,1.0,240,272,68
hardened_v3_event,100,43,normal_nat_burst,0.0,0.0,0.0,0.0,5.0,0.0,0.020833333333333332,0.3086304366819477,1.0,240,272,68
