stage,normal_scenario,attack_type,attack_family,expected_action,dataset_size,seed,challenge_recall,policy_success,mean_score
full_v2,normal_nat_burst,attack_combined_ato,known,block,1110.0,44.0,1.0,1.0,0.9924999999999999
full_v2,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,1110.0,44.0,0.25277777777777777,0.25277777777777777,0.39155555555555555
full_v2,normal_nat_burst,attack_concurrent_sessions,known,challenge,1110.0,44.0,1.0,1.0,0.568125
full_v2,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,1110.0,44.0,0.0,0.0,0.15008333333333335
full_v2,normal_nat_burst,attack_failed_spike,known,challenge,1110.0,44.0,1.0,1.0,0.6307222222222222
full_v2,normal_nat_burst,attack_lateral_known_path,evasive,challenge,1110.0,44.0,0.711111111111111,0.711111111111111,0.4616388888888888
full_v2,normal_nat_burst,attack_login_velocity,known,challenge,1110.0,44.0,1.0,1.0,0.625625
full_v2,normal_nat_burst,attack_low_slow_ato,evasive,challenge,1110.0,44.0,0.0,0.0,0.3219166666666667
full_v2,normal_nat_burst,attack_new_device,known,challenge,1110.0,44.0,1.0,1.0,0.9504583333333334
full_v2,normal_nat_burst,attack_new_os,known,warn,1110.0,44.0,0.0,0.8333333333333334,0.4557777777777778
full_v2,normal_nat_burst,attack_new_passkey,known,challenge,1110.0,44.0,1.0,1.0,0.6855416666666667
full_v2,normal_nat_burst,attack_new_ua_family,known,challenge,1110.0,44.0,0.9652777777777778,0.9652777777777778,0.657902777777778
full_v2,normal_nat_burst,attack_off_hours,known,warn,1110.0,44.0,0.0,0.8333333333333334,0.3223333333333333
full_v2,normal_nat_burst,attack_permission_change,known,challenge,1110.0,44.0,1.0,1.0,0.6950555555555555
full_v2,normal_nat_burst,attack_session_exfiltration,evasive,challenge,1110.0,44.0,0.0,0.0,0.19377777777777777
full_v2,normal_nat_burst,attack_subsystem_lateral,known,challenge,1110.0,44.0,0.7944444444444444,0.7944444444444444,0.6215555555555556
full_v2,normal_nat_burst,attack_velocity_near_threshold,evasive,challenge,1110.0,44.0,0.0,0.0,0.0835
full_v2,normal_staggered,attack_combined_ato,known,block,1110.0,44.0,1.0,1.0,0.9966666666666666
full_v2,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,1110.0,44.0,0.25555555555555554,0.25555555555555554,0.4103611111111111
full_v2,normal_staggered,attack_concurrent_sessions,known,challenge,1110.0,44.0,1.0,1.0,0.5588333333333334
full_v2,normal_staggered,attack_failed_near_threshold,evasive,challenge,1110.0,44.0,0.0,0.0,0.1606388888888889
full_v2,normal_staggered,attack_failed_spike,known,challenge,1110.0,44.0,1.0,1.0,0.6132777777777778
full_v2,normal_staggered,attack_lateral_known_path,evasive,challenge,1110.0,44.0,0.6944444444444444,0.6944444444444444,0.4774444444444444
full_v2,normal_staggered,attack_login_velocity,known,challenge,1110.0,44.0,1.0,1.0,0.6127083333333334
full_v2,normal_staggered,attack_low_slow_ato,evasive,challenge,1110.0,44.0,0.0,0.0,0.3285555555555556
full_v2,normal_staggered,attack_new_device,known,challenge,1110.0,44.0,1.0,1.0,0.9458055555555556
full_v2,normal_staggered,attack_new_os,known,warn,1110.0,44.0,0.0,0.8333333333333334,0.4519027777777778
full_v2,normal_staggered,attack_new_passkey,known,challenge,1110.0,44.0,1.0,1.0,0.6665555555555556
full_v2,normal_staggered,attack_new_ua_family,known,challenge,1110.0,44.0,0.9527777777777777,0.9527777777777777,0.6504166666666668
full_v2,normal_staggered,attack_off_hours,known,warn,1110.0,44.0,0.0,0.8333333333333334,0.34227777777777774
full_v2,normal_staggered,attack_permission_change,known,challenge,1110.0,44.0,1.0,1.0,0.6781666666666666
full_v2,normal_staggered,attack_session_exfiltration,evasive,challenge,1110.0,44.0,0.0,0.0,0.21247222222222223
full_v2,normal_staggered,attack_subsystem_lateral,known,challenge,1110.0,44.0,0.7916666666666666,0.7916666666666666,0.6161527777777778
full_v2,normal_staggered,attack_velocity_near_threshold,evasive,challenge,1110.0,44.0,0.0,0.0,0.14466666666666667
hardened_v3,normal_nat_burst,attack_combined_ato,known,block,1110.0,44.0,1.0,1.0,0.9804444444444446
hardened_v3,normal_nat_burst,attack_concurrent_near_threshold,evasive,challenge,1110.0,44.0,1.0,1.0,0.8895555555555557
hardened_v3,normal_nat_burst,attack_concurrent_sessions,known,challenge,1110.0,44.0,1.0,1.0,0.65525
hardened_v3,normal_nat_burst,attack_failed_near_threshold,evasive,challenge,1110.0,44.0,0.9805555555555556,0.9805555555555556,0.3849444444444444
hardened_v3,normal_nat_burst,attack_failed_spike,known,challenge,1110.0,44.0,1.0,1.0,0.71625
hardened_v3,normal_nat_burst,attack_lateral_known_path,evasive,challenge,1110.0,44.0,1.0,1.0,0.8916111111111112
hardened_v3,normal_nat_burst,attack_login_velocity,known,challenge,1110.0,44.0,1.0,1.0,0.7128611111111112
hardened_v3,normal_nat_burst,attack_low_slow_ato,evasive,challenge,1110.0,44.0,1.0,1.0,0.5104444444444445
hardened_v3,normal_nat_burst,attack_new_device,known,challenge,1110.0,44.0,1.0,1.0,0.7231944444444446
