stage,dataset_size,seed,normal_scenario,attack_type,attack_family,expected_action,challenge_recall,policy_success,mean_score
full_v2,10,42,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.8966666666666668
full_v2,10,42,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.6087500000000001
full_v2,10,42,normal_staggered,attack_new_os,known,warn,0.0,0.0,0.4116666666666667
full_v2,10,42,normal_staggered,attack_off_hours,known,warn,0.0,0.0,0.20458333333333334
full_v2,10,42,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.5387500000000001
full_v2,10,42,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.52375
full_v2,10,42,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.44125
full_v2,10,42,normal_staggered,attack_subsystem_lateral,known,challenge,0.6666666666666666,0.6666666666666666,0.5404166666666667
full_v2,10,42,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.58125
full_v2,10,42,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.6375000000000001
full_v2,10,42,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9583333333333334
full_v2,10,42,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.0,0.0,0.19166666666666668
full_v2,10,42,normal_staggered,attack_velocity_near_threshold,evasive,challenge,0.0,0.0,0.07250000000000001
full_v2,10,42,normal_staggered,attack_concurrent_near_threshold,evasive,challenge,0.25,0.25,0.3316666666666667
full_v2,10,42,normal_staggered,attack_session_exfiltration,evasive,challenge,0.0,0.0,0.06666666666666667
full_v2,10,42,normal_staggered,attack_lateral_known_path,evasive,challenge,0.6666666666666666,0.6666666666666666,0.4024999999999999
full_v2,10,42,normal_staggered,attack_low_slow_ato,evasive,challenge,0.0,0.0,0.2075
hardened_v3,10,42,normal_staggered,attack_new_device,known,challenge,1.0,1.0,0.6875
hardened_v3,10,42,normal_staggered,attack_new_ua_family,known,challenge,1.0,1.0,0.39291666666666664
hardened_v3,10,42,normal_staggered,attack_new_os,known,warn,0.0,1.0,0.1929166666666667
hardened_v3,10,42,normal_staggered,attack_off_hours,known,warn,0.0,0.5,0.19999999999999998
hardened_v3,10,42,normal_staggered,attack_failed_spike,known,challenge,1.0,1.0,0.6900000000000001
hardened_v3,10,42,normal_staggered,attack_login_velocity,known,challenge,1.0,1.0,0.6750000000000002
hardened_v3,10,42,normal_staggered,attack_concurrent_sessions,known,challenge,1.0,1.0,0.5924999999999999
hardened_v3,10,42,normal_staggered,attack_subsystem_lateral,known,challenge,1.0,1.0,0.9499999999999998
hardened_v3,10,42,normal_staggered,attack_new_passkey,known,challenge,1.0,1.0,0.5883333333333334
hardened_v3,10,42,normal_staggered,attack_permission_change,known,challenge,1.0,1.0,0.7883333333333332
hardened_v3,10,42,normal_staggered,attack_combined_ato,known,block,1.0,1.0,0.9816666666666669
hardened_v3,10,42,normal_staggered,attack_failed_near_threshold,evasive,challenge,0.9166666666666666,0.9166666666666666,0.43166666666666664
