stage,normal_scenario,dataset_size,seed,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,normal_nat_burst,10,44.0,36.0,24.0,0.5800834096834562,0.6209876356020001,3.4,0.0,24.0,268.6,1.0,0.0125,0.024664298812243367,0.7754748774509804,0.9735827529046741,0.0,0.0,0.0,0.05,0.0029411764705882353,0.04705882352941177,5.0,1.0,24.0,272.0,68.0
hardened_v3_event,normal_nat_burst,50,44.0,324.0,120.0,0.5801882819294234,0.6367775568519685,0.0,0.0,120.0,272.0,0.0,0.0,0.0,0.916844362745098,0.9596722389165377,0.0,0.0016666666666666666,0.0,0.0,0.0,0.0,5.0,1.0,120.0,272.0,68.0
hardened_v3_event,normal_nat_burst,100,44.0,684.0,240.0,0.6339792226668164,0.6950184938072257,0.0,0.8,239.2,272.0,0.0,0.0,0.0,0.8342325367647059,0.8624676462454932,0.003333333333333333,0.0075,0.0016666666666666666,0.0,0.0,0.0,5.0,1.0,240.0,272.0,68.0
hardened_v3_event,normal_nat_burst,500,44.0,3564.0,1200.0,0.6384392108597338,0.7053385107890854,0.0,2.2,1197.8,272.0,0.0,0.0,0.0,0.915046875,0.7836634227486315,0.0018333333333333333,0.0018333333333333333,0.0001666666666666667,0.0,0.0,0.0,5.0,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_nat_burst,1000,44.0,7164.0,2400.0,0.6350803746030129,0.7057453263757401,0.0,5.4,2394.6,272.0,0.0,0.0,0.0,0.8921680453431373,0.6205442547085236,0.00225,0.00225,0.0003333333333333334,0.0,0.0,0.0,5.0,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_nat_burst,5000,44.0,35964.0,12000.0,0.646272018259407,0.7188717941518841,0.0,18.0,11982.0,272.0,0.0,0.0,0.0,0.9051707107843138,0.4030852839477723,0.0015,0.0015,0.00031666666666666665,0.0,0.0,0.0,5.0,1.0,12000.0,272.0,68.0
hardened_v3_event,normal_staggered,10,44.0,36.0,24.0,0.5867576217162631,0.6219283239163871,3.0,0.0,24.0,269.0,0.8,0.011029411764705883,0.02168214796051588,0.685860906862745,0.9563242181416947,0.0,0.024999999999999998,0.0,0.0411764705882353,0.011764705882352941,0.03235294117647059,5.0,1.0,24.0,272.0,68.0
hardened_v3_event,normal_staggered,50,44.0,324.0,120.0,0.5231172627103319,0.5930504553160523,0.2,0.2,119.8,271.8,0.2,0.0007352941176470588,0.0014652014652014652,0.7240992647058823,0.8443326900079354,0.0016666666666666666,0.011666666666666667,0.0,0.0029411764705882353,0.0,0.0029411764705882353,5.0,1.0,120.0,272.0,68.0
hardened_v3_event,normal_staggered,100,44.0,684.0,240.0,0.6452216695635691,0.7200409798669221,0.2,0.0,240.0,271.8,0.2,0.0007352941176470588,0.0014652014652014652,0.6454120710784312,0.6881059339742344,0.0,0.0008333333333333333,0.0,0.0029411764705882353,0.0029411764705882353,0.0,5.0,1.0,240.0,272.0,68.0
hardened_v3_event,normal_staggered,500,44.0,3564.0,1200.0,0.6619695944256877,0.7377088268618162,0.4,2.2,1197.8,271.6,0.1,0.0014705882352941176,0.002898550724637681,0.8014874387254902,0.584941811884921,0.0018333333333333333,0.0023333333333333335,0.0001666666666666667,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_staggered,1000,44.0,7164.0,2400.0,0.668573404079717,0.7476818358712147,0.4,3.2,2396.8,271.6,0.16666666666666666,0.0014705882352941176,0.0029143994691439947,0.7877418811274509,0.4506824380282913,0.0013333333333333335,0.001583333333333333,0.0005833333333333334,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_staggered,5000,44.0,35964.0,12000.0,0.6657929977171393,0.7428237313071616,0.4,17.8,11982.2,271.6,0.019047619047619046,0.0014705882352941176,0.00273037542662116,0.7687882046568627,0.17149848651128477,0.0014833333333333335,0.0016833333333333331,0.00045000000000000004,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,12000.0,272.0,68.0
sequence_model_v5,normal_nat_burst,10,44.0,36.0,24.0,0.5800834096834562,0.6209876356020001,26.2,0.0,24.0,245.8,1.0,0.09632352941176471,0.16258779019571215,0.7980698529411765,0.9761859160819766,0.0,0.016666666666666666,0.0,0.26176470588235295,0.16176470588235295,0.21470588235294116,4.7,1.0,24.0,272.0,68.0
sequence_model_v5,normal_nat_burst,50,44.0,324.0,120.0,0.5801882819294234,0.6367775568519685,45.4,1.2,118.8,226.6,0.9695082695082695,0.16691176470588234,0.27034898279077446,0.888109681372549,0.9458759178323813,0.009999999999999998,0.016666666666666666,0.0,0.4470588235294118,0.2117647058823529,0.4117647058823529,4.5,1.0,120.0,272.0,68.0
sequence_model_v5,normal_nat_burst,100,44.0,684.0,240.0,0.6339792226668164,0.6950184938072257,14.4,1.0,239.0,257.6,0.8976190476190476,0.052941176470588235,0.09872291114891926,0.861216299019608,0.8724237209359937,0.0041666666666666675,0.0125,0.0016666666666666666,0.1970588235294118,0.05,0.16176470588235295,5.0,1.0,240.0,272.0,68.0
sequence_model_v5,normal_nat_burst,500,44.0,3564.0,1200.0,0.6384392108597338,0.7053385107890854,29.2,3.0,1197.0,242.8,0.895492318139377,0.10735294117647058,0.18921279750118764,0.8926997549019609,0.7258455909873904,0.0025,0.0095,0.0001666666666666667,0.3235294117647059,0.14705882352941174,0.27647058823529413,5.0,1.0,1200.0,272.0,68.0
