stage,dataset_size,seed,normal_scenario,sequence_fit_count,sequence_calibration_count,warn_threshold,challenge_threshold,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,10,42,normal_staggered,36,24,0.6166703289449978,0.6716450304908059,0,0,24,272,0.0,0.0,0.0,0.6641390931372548,0.9561031108192054,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,5.0,1.0,24,272,68
sequence_model_v5,10,42,normal_staggered,36,24,0.6166703289449978,0.6716450304908059,0,0,24,272,0.0,0.0,0.0,0.6548713235294118,0.946569369813853,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,5.0,1.0,24,272,68
hardened_v3_event,10,42,normal_nat_burst,36,24,0.5922456513629978,0.6319294718157775,4,0,24,268,1.0,0.014705882352941176,0.028985507246376812,0.7575827205882353,0.9718433057015207,0.0,0.0,0.0,0.058823529411764705,0.014705882352941176,0.04411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,42,normal_nat_burst,36,24,0.5922456513629978,0.6319294718157775,16,0,24,256,1.0,0.058823529411764705,0.1111111111111111,0.8282781862745098,0.9811918869784173,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.17647058823529413,5.0,1.0,24,272,68
hardened_v3_event,10,43,normal_staggered,36,24,0.5739957087787876,0.6117894471119333,3,0,24,269,1.0,0.011029411764705883,0.02181818181818182,0.6201746323529411,0.9427969587446391,0.0,0.0,0.0,0.04411764705882353,0.0,0.04411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,43,normal_staggered,36,24,0.5739957087787876,0.6117894471119333,83,2,22,189,0.9764705882352941,0.30514705882352944,0.46498599439775906,0.7225030637254901,0.9668509340638249,0.08333333333333333,0.125,0.0,0.6911764705882353,0.4852941176470588,0.6323529411764706,4.0,1.0,24,272,68
hardened_v3_event,10,43,normal_nat_burst,36,24,0.5580964620376154,0.5940279103274287,3,0,24,269,1.0,0.011029411764705883,0.02181818181818182,0.753140318627451,0.9719707223120272,0.0,0.0,0.0,0.04411764705882353,0.0,0.04411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,43,normal_nat_burst,36,24,0.5580964620376154,0.5940279103274287,7,0,24,265,1.0,0.025735294117647058,0.05017921146953405,0.7856924019607844,0.9751855577932008,0.0,0.0,0.0,0.10294117647058823,0.058823529411764705,0.04411764705882353,5.0,1.0,24,272,68
hardened_v3_event,10,44,normal_staggered,36,24,0.5196751559244239,0.5465502047893871,5,0,24,267,1.0,0.01838235294117647,0.03610108303249098,0.7110140931372549,0.9590867549805213,0.0,0.08333333333333333,0.0,0.07352941176470588,0.029411764705882353,0.04411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,44,normal_staggered,36,24,0.5196751559244239,0.5465502047893871,103,0,24,169,1.0,0.3786764705882353,0.5493333333333333,0.8083639705882355,0.9811196487589118,0.0,0.08333333333333333,0.0,0.7794117647058824,0.5294117647058824,0.7205882352941176,3.0,1.0,24,272,68
hardened_v3_event,10,44,normal_nat_burst,36,24,0.5366834492462157,0.5694782713846995,2,0,24,270,1.0,0.007352941176470588,0.014598540145985401,0.7261795343137255,0.9678439778132352,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,44,normal_nat_burst,36,24,0.5366834492462157,0.5694782713846995,10,0,24,262,1.0,0.03676470588235294,0.07092198581560283,0.7173713235294118,0.9611712568333135,0.0,0.041666666666666664,0.0,0.11764705882352941,0.10294117647058823,0.029411764705882353,5.0,1.0,24,272,68
hardened_v3_event,10,45,normal_staggered,36,24,0.6460635148464277,0.6687742050784319,6,0,24,266,1.0,0.022058823529411766,0.04316546762589929,0.7050398284313726,0.9593865675174652,0.0,0.0,0.0,0.07352941176470588,0.029411764705882353,0.058823529411764705,5.0,1.0,24,272,68
sequence_model_v5,10,45,normal_staggered,36,24,0.6460635148464277,0.6687742050784319,18,0,24,254,1.0,0.0661764705882353,0.12413793103448276,0.7999387254901961,0.9801743052374516,0.0,0.0,0.0,0.22058823529411764,0.058823529411764705,0.20588235294117646,5.0,1.0,24,272,68
hardened_v3_event,10,45,normal_nat_burst,36,24,0.6554605139031698,0.707209599652257,5,0,24,267,1.0,0.01838235294117647,0.03610108303249098,0.8202359068627451,0.9780643527829017,0.0,0.0,0.0,0.07352941176470588,0.0,0.07352941176470588,5.0,1.0,24,272,68
sequence_model_v5,10,45,normal_nat_burst,36,24,0.6554605139031698,0.707209599652257,19,0,24,253,1.0,0.06985294117647059,0.13058419243986255,0.7939644607843137,0.9769762225194258,0.0,0.0,0.0,0.20588235294117646,0.08823529411764706,0.19117647058823528,5.0,1.0,24,272,68
hardened_v3_event,10,46,normal_staggered,36,24,0.5773834000866782,0.6108827321113773,1,0,24,271,1.0,0.003676470588235294,0.007326007326007326,0.728936887254902,0.9642476986466421,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,5.0,1.0,24,272,68
sequence_model_v5,10,46,normal_staggered,36,24,0.5773834000866782,0.6108827321113773,72,0,24,200,1.0,0.2647058823529412,0.4186046511627907,0.823529411764706,0.9821172255765216,0.0,0.0,0.0,0.6323529411764706,0.47058823529411764,0.5882352941176471,4.0,1.0,24,272,68
hardened_v3_event,10,46,normal_nat_burst,36,24,0.557930971867282,0.602292924829838,3,0,24,269,1.0,0.011029411764705883,0.02181818181818182,0.8202359068627451,0.9781914059136856,0.0,0.0,0.0,0.04411764705882353,0.0,0.04411764705882353,5.0,1.0,24,272,68
sequence_model_v5,10,46,normal_nat_burst,36,24,0.557930971867282,0.602292924829838,79,0,24,193,1.0,0.29044117647058826,0.45014245014245013,0.8650428921568627,0.9864046562855256,0.0,0.041666666666666664,0.0,0.6470588235294118,0.5,0.6323529411764706,3.5,1.0,24,272,68
hardened_v3_event,50,42,normal_staggered,324,120,0.5020163403022855,0.5933058597444714,0,0,120,272,0.0,0.0,0.0,0.6773131127450981,0.8252656988743285,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
sequence_model_v5,50,42,normal_staggered,324,120,0.5020163403022855,0.5933058597444714,37,2,118,235,0.9487179487179487,0.13602941176470587,0.23794212218649516,0.7586550245098039,0.8625563776530226,0.016666666666666666,0.14166666666666666,0.0,0.3382352941176471,0.23529411764705882,0.27941176470588236,5.0,1.0,120,272,68
hardened_v3_event,50,42,normal_nat_burst,324,120,0.5562736786760327,0.6534419089273499,0,0,120,272,0.0,0.0,0.0,0.9171568627450981,0.9609269385950158,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.0,1.0,120,272,68
