stage,normal_scenario,attack_type,dataset_size,seed,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
hardened_v3_event,normal_nat_burst,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32.0,8.0
hardened_v3_event,normal_nat_burst,gradual_exfiltration,1110.0,44.0,0.03333333333333333,0.0,0.0,47.96666666666667,0.03333333333333333,0.0006944444444444444,0.001360544217687075,0.0,0.0,0.0027777777777777775,0.0,0.0027777777777777775,5.0,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,profile_poisoning_chain,1110.0,44.0,0.03333333333333333,0.0,0.0,47.96666666666667,0.03333333333333333,0.0006944444444444444,0.001360544217687075,0.0,0.0,0.0027777777777777775,0.0027777777777777775,0.0,5.0,1.0,48.0,12.0
hardened_v3_event,normal_nat_burst,session_replay_chain,1110.0,44.0,0.43333333333333335,0.0,0.0,47.56666666666667,0.16666666666666666,0.009027777777777777,0.017049773755656104,0.0,0.0,0.03611111111111111,0.0,0.03611111111111111,5.0,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,slow_credential_probe,1110.0,44.0,0.06666666666666667,0.0,0.0,47.93333333333333,0.06666666666666667,0.0013888888888888887,0.00272108843537415,0.0,0.0,0.005555555555555555,0.0,0.005555555555555555,5.0,0.0,48.0,12.0
hardened_v3_event,normal_nat_burst,stealth_mimicry_ato,1110.0,44.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48.0,12.0
hardened_v3_event,normal_staggered,distributed_lateral_drift,1110.0,44.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32.0,8.0
hardened_v3_event,normal_staggered,gradual_exfiltration,1110.0,44.0,0.03333333333333333,0.0,0.0,47.96666666666667,0.03333333333333333,0.0006944444444444444,0.001360544217687075,0.0,0.0,0.0027777777777777775,0.0,0.0027777777777777775,5.0,0.0,48.0,12.0
hardened_v3_event,normal_staggered,profile_poisoning_chain,1110.0,44.0,0.16666666666666666,0.0,0.0,47.833333333333336,0.13333333333333333,0.003472222222222222,0.006748299319727891,0.0,0.0,0.01111111111111111,0.01111111111111111,0.0027777777777777775,5.0,1.0,48.0,12.0
hardened_v3_event,normal_staggered,session_replay_chain,1110.0,44.0,0.36666666666666664,0.0,0.0,47.63333333333333,0.23333333333333334,0.007638888888888889,0.014697078831532614,0.0,0.0,0.030555555555555555,0.0,0.030555555555555555,5.0,0.0,48.0,12.0
hardened_v3_event,normal_staggered,slow_credential_probe,1110.0,44.0,0.2,0.0,0.0,47.8,0.2,0.004166666666666667,0.00816326530612245,0.0,0.0,0.016666666666666666,0.01111111111111111,0.005555555555555555,5.0,0.0,48.0,12.0
hardened_v3_event,normal_staggered,stealth_mimicry_ato,1110.0,44.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48.0,12.0
