stage,dataset_size,seed,normal_scenario,attack_type,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,attack_phase_count,attack_sequence_count
hardened_v3_event,10,42,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_staggered,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_staggered,session_replay_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,42,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
supervised_sequence_v6,10,42,normal_staggered,stealth_mimicry_ato,47,0,0,1,1.0,0.9791666666666666,0.9894736842105264,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_staggered,slow_credential_probe,46,0,0,2,1.0,0.9583333333333334,0.9787234042553191,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_staggered,session_replay_chain,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_staggered,gradual_exfiltration,43,0,0,5,1.0,0.8958333333333334,0.945054945054945,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_staggered,distributed_lateral_drift,23,0,0,9,1.0,0.71875,0.8363636363636363,0.0,0.0,1.0,1.0,1.0,2.0,0.0,32,8
supervised_sequence_v6,10,42,normal_staggered,profile_poisoning_chain,46,0,0,2,1.0,0.9583333333333334,0.9787234042553191,0.0,0.0,1.0,1.0,1.0,1.0,1.0,48,12
hardened_v3_event,10,42,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,session_replay_chain,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.25,0.0,0.25,5.0,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,42,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,42,normal_nat_burst,profile_poisoning_chain,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,1.0,48,12
supervised_sequence_v6,10,42,normal_nat_burst,stealth_mimicry_ato,47,0,0,1,1.0,0.9791666666666666,0.9894736842105264,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_nat_burst,slow_credential_probe,46,0,0,2,1.0,0.9583333333333334,0.9787234042553191,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_nat_burst,session_replay_chain,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_nat_burst,gradual_exfiltration,45,0,0,3,1.0,0.9375,0.967741935483871,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,42,normal_nat_burst,distributed_lateral_drift,16,0,0,16,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,3.0,0.0,32,8
supervised_sequence_v6,10,42,normal_nat_burst,profile_poisoning_chain,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,48,12
hardened_v3_event,10,43,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,43,normal_staggered,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,43,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_staggered,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,43,normal_staggered,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
supervised_sequence_v6,10,43,normal_staggered,stealth_mimicry_ato,47,0,0,1,1.0,0.9791666666666666,0.9894736842105264,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_staggered,slow_credential_probe,43,0,0,5,1.0,0.8958333333333334,0.945054945054945,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_staggered,session_replay_chain,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_staggered,gradual_exfiltration,46,0,0,2,1.0,0.9583333333333334,0.9787234042553191,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_staggered,distributed_lateral_drift,25,0,0,7,1.0,0.78125,0.8771929824561403,0.0,0.0,1.0,1.0,1.0,2.0,0.0,32,8
supervised_sequence_v6,10,43,normal_staggered,profile_poisoning_chain,45,0,0,3,1.0,0.9375,0.967741935483871,0.0,0.0,1.0,1.0,1.0,1.0,1.0,48,12
hardened_v3_event,10,43,normal_nat_burst,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,slow_credential_probe,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,session_replay_chain,2,0,0,46,1.0,0.041666666666666664,0.07999999999999999,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,gradual_exfiltration,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,5.0,0.0,48,12
hardened_v3_event,10,43,normal_nat_burst,distributed_lateral_drift,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,32,8
hardened_v3_event,10,43,normal_nat_burst,profile_poisoning_chain,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,48,12
supervised_sequence_v6,10,43,normal_nat_burst,stealth_mimicry_ato,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_nat_burst,slow_credential_probe,45,0,0,3,1.0,0.9375,0.967741935483871,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_nat_burst,session_replay_chain,48,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_nat_burst,gradual_exfiltration,46,0,0,2,1.0,0.9583333333333334,0.9787234042553191,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48,12
supervised_sequence_v6,10,43,normal_nat_burst,distributed_lateral_drift,16,0,0,16,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,3.0,0.0,32,8
supervised_sequence_v6,10,43,normal_nat_burst,profile_poisoning_chain,47,0,0,1,1.0,0.9791666666666666,0.9894736842105264,0.0,0.0,1.0,1.0,1.0,1.0,1.0,48,12
hardened_v3_event,10,44,normal_staggered,stealth_mimicry_ato,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,slow_credential_probe,1,0,0,47,1.0,0.020833333333333332,0.04081632653061225,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,session_replay_chain,3,0,0,45,1.0,0.0625,0.11764705882352941,0.0,0.0,0.25,0.0,0.25,5.0,0.0,48,12
hardened_v3_event,10,44,normal_staggered,gradual_exfiltration,0,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,48,12
