stage,normal_scenario,dataset_size,seed,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,normal_nat_burst,10,44.0,0.7119204056192305,540.0,272.0,528.0,272.0,0.0,1.0,1.0,3.4,0.0,24.0,268.6,1.0,0.0125,0.024664298812243367,0.7754748774509804,0.9735827529046741,0.0,0.0,0.0,0.05,0.0029411764705882353,0.04705882352941177,5.0,1.0,24.0,272.0,68.0
hardened_v3_event,normal_nat_burst,50,44.0,0.6158128491161678,3708.0,272.0,3504.0,272.0,0.0008561643835616438,1.0,1.0,0.0,0.0,120.0,272.0,0.0,0.0,0.0,0.916844362745098,0.9596722389165377,0.0,0.0016666666666666666,0.0,0.0,0.0,0.0,5.0,1.0,120.0,272.0,68.0
hardened_v3_event,normal_nat_burst,100,44.0,0.5066391014031272,7668.0,272.0,7224.0,272.0,0.0009689922480620155,1.0,1.0,0.0,0.8,239.2,272.0,0.0,0.0,0.0,0.8342325367647059,0.8624676462454932,0.003333333333333333,0.0075,0.0016666666666666666,0.0,0.0,0.0,5.0,1.0,240.0,272.0,68.0
hardened_v3_event,normal_nat_burst,500,44.0,0.5790015566529527,17964.0,272.0,15600.0,272.0,0.0009615384615384616,1.0,1.0,0.0,2.2,1197.8,272.0,0.0,0.0,0.0,0.915046875,0.7836634227486315,0.0018333333333333333,0.0018333333333333333,0.0001666666666666667,0.0,0.0,0.0,5.0,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_nat_burst,1000,44.0,0.6097878450287659,21564.0,272.0,16800.0,272.0,0.0009523809523809525,1.0,0.9970588235294118,0.0,5.4,2394.6,272.0,0.0,0.0,0.0,0.8921680453431373,0.6205442547085236,0.00225,0.00225,0.0003333333333333334,0.0,0.0,0.0,5.0,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_nat_burst,5000,44.0,0.5644267128483008,50364.0,272.0,26400.0,272.0,0.000984848484848485,1.0,1.0,0.0,18.0,11982.0,272.0,0.0,0.0,0.0,0.9051707107843138,0.4030852839477723,0.0015,0.0015,0.00031666666666666665,0.0,0.0,0.0,5.0,1.0,12000.0,272.0,68.0
hardened_v3_event,normal_staggered,10,44.0,0.7330521952515411,540.0,272.0,528.0,272.0,0.0,1.0,1.0,3.0,0.0,24.0,269.0,0.8,0.011029411764705883,0.02168214796051588,0.685860906862745,0.9563242181416947,0.0,0.024999999999999998,0.0,0.0411764705882353,0.011764705882352941,0.03235294117647059,5.0,1.0,24.0,272.0,68.0
hardened_v3_event,normal_staggered,50,44.0,0.6452339509164273,3708.0,272.0,3504.0,272.0,0.0008561643835616438,0.9941176470588236,0.9911764705882353,0.2,0.2,119.8,271.8,0.2,0.0007352941176470588,0.0014652014652014652,0.7240992647058823,0.8443326900079354,0.0016666666666666666,0.011666666666666667,0.0,0.0029411764705882353,0.0,0.0029411764705882353,5.0,1.0,120.0,272.0,68.0
hardened_v3_event,normal_staggered,100,44.0,0.5320079425564556,7668.0,272.0,7224.0,272.0,0.0009689922480620155,1.0,0.9970588235294118,0.2,0.0,240.0,271.8,0.2,0.0007352941176470588,0.0014652014652014652,0.6454120710784312,0.6881059339742344,0.0,0.0008333333333333333,0.0,0.0029411764705882353,0.0029411764705882353,0.0,5.0,1.0,240.0,272.0,68.0
hardened_v3_event,normal_staggered,500,44.0,0.63572562532663,17964.0,272.0,15600.0,272.0,0.0009615384615384616,1.0,1.0,0.4,2.2,1197.8,271.6,0.1,0.0014705882352941176,0.002898550724637681,0.8014874387254902,0.584941811884921,0.0018333333333333333,0.0023333333333333335,0.0001666666666666667,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,1200.0,272.0,68.0
hardened_v3_event,normal_staggered,1000,44.0,0.5402843317163891,21564.0,272.0,16800.0,272.0,0.0009523809523809525,1.0,1.0,0.4,3.2,2396.8,271.6,0.16666666666666666,0.0014705882352941176,0.0029143994691439947,0.7877418811274509,0.4506824380282913,0.0013333333333333335,0.001583333333333333,0.0005833333333333334,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,2400.0,272.0,68.0
hardened_v3_event,normal_staggered,5000,44.0,0.518009367046071,50364.0,272.0,26400.0,272.0,0.000984848484848485,1.0,0.9970588235294118,0.4,17.8,11982.2,271.6,0.019047619047619046,0.0014705882352941176,0.00273037542662116,0.7687882046568627,0.17149848651128477,0.0014833333333333335,0.0016833333333333331,0.00045000000000000004,0.0058823529411764705,0.0029411764705882353,0.0029411764705882353,5.0,1.0,12000.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,10,44.0,0.7119204056192305,540.0,272.0,528.0,272.0,0.0,1.0,1.0,251.0,0.0,24.0,21.0,1.0,0.9227941176470589,0.959804451114796,0.9993259803921568,0.999933534207728,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,50,44.0,0.6158128491161678,3708.0,272.0,3504.0,272.0,0.0008561643835616438,1.0,1.0,244.2,0.0,120.0,27.8,1.0,0.8977941176470589,0.9460715989645637,0.9987469362745098,0.9994459146667933,0.0,0.0016666666666666666,0.0,1.0,1.0,0.9617647058823529,1.0,1.0,120.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,100,44.0,0.5066391014031272,7668.0,272.0,7224.0,272.0,0.0009689922480620155,1.0,1.0,250.0,0.8,239.2,22.0,0.9968060477202929,0.9191176470588236,0.9563588970611082,0.9965533088235293,0.9969269338490792,0.003333333333333333,0.0075,0.0016666666666666666,1.0,1.0,0.9764705882352942,1.0,1.0,240.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,500,44.0,0.5790015566529527,17964.0,272.0,15600.0,272.0,0.0009615384615384616,1.0,1.0,255.2,2.2,1197.8,16.8,0.9914081906449612,0.9382352941176471,0.9640404617904028,0.9993045343137256,0.9974606899304528,0.0018333333333333333,0.0018333333333333333,0.0001666666666666667,1.0,1.0,0.9911764705882353,1.0,1.0,1200.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,1000,44.0,0.6097878450287659,21564.0,272.0,16800.0,272.0,0.0009523809523809525,1.0,0.9970588235294118,247.0,5.6,2394.4,25.0,0.9780652522744215,0.9080882352941178,0.9413947117339735,0.9989754901960785,0.9920108903354011,0.0023333333333333335,0.0023333333333333335,0.0003333333333333334,1.0,0.9970588235294118,0.9970588235294118,1.0,1.0,2400.0,272.0,68.0
supervised_sequence_v6,normal_nat_burst,5000,44.0,0.5644267128483008,50364.0,272.0,26400.0,272.0,0.000984848484848485,1.0,1.0,245.4,18.2,11981.8,26.6,0.9312160942776104,0.9022058823529411,0.9160609246357364,0.9991223039215686,0.9728802761428744,0.0015166666666666666,0.0015166666666666666,0.00031666666666666665,1.0,1.0,1.0,1.0,1.0,12000.0,272.0,68.0
supervised_sequence_v6,normal_staggered,10,44.0,0.7330521952515411,540.0,272.0,528.0,272.0,0.0,1.0,1.0,253.0,0.0,24.0,19.0,1.0,0.9301470588235293,0.9637750120317687,0.9976102941176471,0.9997639000842075,0.0,0.024999999999999998,0.0,1.0,1.0,1.0,1.0,1.0,24.0,272.0,68.0
supervised_sequence_v6,normal_staggered,50,44.0,0.6452339509164273,3708.0,272.0,3504.0,272.0,0.0008561643835616438,0.9941176470588236,0.9911764705882353,232.0,0.4,119.6,40.0,0.9983086000357589,0.8529411764705882,0.9195598131901083,0.9947947303921569,0.9978052950313531,0.003333333333333333,0.013333333333333332,0.0,0.9941176470588236,0.9911764705882353,0.9470588235294117,1.0,1.0,120.0,272.0,68.0
