stage,dataset_size,seed,normal_scenario,challenge_threshold,normal_fit_count,attack_fit_count,normal_calibration_count,attack_calibration_count,validation_fpr,validation_sequence_detection,validation_preobjective_detection,tp,fp,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr,warn_fpr,block_fpr,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,flagged_poison_rejection_rate,normal_count,attack_phase_count,attack_sequence_count
hardened_v3_event,10,42,normal_staggered,0.7010718395477129,540,272,528,272,0.0,1.0,1.0,0,0,24,272,0.0,0.0,0.0,0.6641390931372548,0.9561031108192054,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,5.0,1.0,24,272,68
supervised_sequence_v6,10,42,normal_staggered,0.7010718395477129,540,272,528,272,0.0,1.0,1.0,253,0,24,19,1.0,0.9301470588235294,0.9638095238095238,0.9975490196078431,0.9997825221790706,0.0,0.041666666666666664,0.0,1.0,1.0,1.0,1.0,1.0,24,272,68
hardened_v3_event,10,42,normal_nat_burst,0.7206036204974078,540,272,528,272,0.0,1.0,1.0,4,0,24,268,1.0,0.014705882352941176,0.028985507246376812,0.7575827205882353,0.9718433057015207,0.0,0.0,0.0,0.058823529411764705,0.014705882352941176,0.04411764705882353,5.0,1.0,24,272,68
supervised_sequence_v6,10,42,normal_nat_burst,0.7206036204974078,540,272,528,272,0.0,1.0,1.0,250,0,24,22,1.0,0.9191176470588235,0.9578544061302682,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24,272,68
hardened_v3_event,10,43,normal_staggered,0.7696621667060307,540,272,528,272,0.0,1.0,1.0,3,0,24,269,1.0,0.011029411764705883,0.02181818181818182,0.6201746323529411,0.9427969587446391,0.0,0.0,0.0,0.04411764705882353,0.0,0.04411764705882353,5.0,1.0,24,272,68
supervised_sequence_v6,10,43,normal_staggered,0.7696621667060307,540,272,528,272,0.0,1.0,1.0,254,0,24,18,1.0,0.9338235294117647,0.9657794676806084,0.9929534313725491,0.999317374759938,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24,272,68
hardened_v3_event,10,43,normal_nat_burst,0.7293519984520485,540,272,528,272,0.0,1.0,1.0,3,0,24,269,1.0,0.011029411764705883,0.02181818181818182,0.753140318627451,0.9719707223120272,0.0,0.0,0.0,0.04411764705882353,0.0,0.04411764705882353,5.0,1.0,24,272,68
supervised_sequence_v6,10,43,normal_nat_burst,0.7293519984520485,540,272,528,272,0.0,1.0,1.0,250,0,24,22,1.0,0.9191176470588235,0.9578544061302682,0.9980085784313726,0.9998249761865585,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24,272,68
hardened_v3_event,10,44,normal_staggered,0.7840318148586906,540,272,528,272,0.0,1.0,1.0,5,0,24,267,1.0,0.01838235294117647,0.03610108303249098,0.7110140931372549,0.9590867549805213,0.0,0.08333333333333333,0.0,0.07352941176470588,0.029411764705882353,0.04411764705882353,5.0,1.0,24,272,68
supervised_sequence_v6,10,44,normal_staggered,0.7840318148586906,540,272,528,272,0.0,1.0,1.0,249,0,24,23,1.0,0.9154411764705882,0.9558541266794625,0.9990042892156862,0.9998923513347998,0.0,0.08333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,24,272,68
