stage,normal_scenario,attack_type,dataset_size,seed,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,attack_phase_count,attack_sequence_count
disjoint_hybrid_v8,normal_nat_burst,cookie_hijack_blend,1110.0,44.0,44.43333333333333,0.0,0.0,0.0,15.566666666666666,1.0,0.7405555555555555,0.8366921470158475,0.0,0.0,0.95,0.9083333333333333,0.8805555555555556,1.5,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,distributed_lateral_drift,1110.0,44.0,31.866666666666667,0.0,0.0,0.0,8.133333333333333,1.0,0.7966666666666666,0.8726792344947876,0.0,0.0,0.9625,0.9458333333333333,0.8958333333333334,1.5666666666666667,40.0,8.0
disjoint_hybrid_v8,normal_nat_burst,distributed_password_spray,1110.0,44.0,39.86666666666667,0.0,0.0,0.0,20.133333333333333,1.0,0.6644444444444445,0.7868061057424912,0.0,0.0,0.9694444444444444,0.8583333333333333,0.9361111111111111,2.05,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,gradual_exfiltration,1110.0,44.0,48.2,0.0,0.0,0.0,11.8,1.0,0.8033333333333333,0.8841129633595531,0.0,0.0,0.9916666666666667,0.9555555555555556,0.9638888888888889,1.5333333333333334,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,profile_poisoning_chain,1110.0,44.0,52.833333333333336,0.0,0.0,0.0,7.166666666666667,1.0,0.8805555555555556,0.9321984976380262,0.0,0.0,1.0,0.9944444444444444,0.9916666666666667,1.3166666666666667,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,session_replay_jitter,1110.0,44.0,41.96666666666667,0.0,0.0,0.0,18.033333333333335,1.0,0.6994444444444444,0.8171066971027225,0.0,0.0,0.975,0.9277777777777777,0.8972222222222223,1.4666666666666666,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,slow_credential_probe,1110.0,44.0,39.56666666666667,0.0,0.0,0.0,20.433333333333334,1.0,0.6594444444444444,0.7834105238336553,0.0,0.0,0.975,0.8583333333333333,0.9333333333333333,1.95,60.0,12.0
disjoint_hybrid_v8,normal_nat_burst,stealth_mimicry_ato,1110.0,44.0,50.06666666666667,0.0,0.0,0.0,9.933333333333334,1.0,0.8344444444444444,0.9032804847559789,0.0,0.0,0.9888888888888889,0.9583333333333334,0.9555555555555556,1.4333333333333333,60.0,12.0
disjoint_hybrid_v8,normal_staggered,cookie_hijack_blend,1110.0,44.0,44.166666666666664,0.0,0.0,0.0,15.833333333333334,1.0,0.736111111111111,0.8375179548072295,0.0,0.0,0.9638888888888889,0.9194444444444444,0.875,1.4,60.0,12.0
disjoint_hybrid_v8,normal_staggered,distributed_lateral_drift,1110.0,44.0,31.866666666666667,0.0,0.0,0.0,8.133333333333333,1.0,0.7966666666666666,0.8763808077139197,0.0,0.0,0.9916666666666667,0.9541666666666667,0.9041666666666667,1.4666666666666666,40.0,8.0
disjoint_hybrid_v8,normal_staggered,distributed_password_spray,1110.0,44.0,38.333333333333336,0.0,0.0,0.0,21.666666666666668,1.0,0.638888888888889,0.7638640952398952,0.0,0.0,0.9722222222222222,0.8333333333333334,0.9305555555555556,2.2666666666666666,60.0,12.0
disjoint_hybrid_v8,normal_staggered,gradual_exfiltration,1110.0,44.0,48.8,0.0,0.0,0.0,11.2,1.0,0.8133333333333332,0.8917966550671312,0.0,0.0,1.0,0.975,0.9722222222222222,1.45,60.0,12.0
disjoint_hybrid_v8,normal_staggered,profile_poisoning_chain,1110.0,44.0,52.43333333333333,0.0,0.0,0.0,7.566666666666666,1.0,0.8738888888888889,0.9276878931452605,0.0,0.0,0.9944444444444444,0.9805555555555556,0.9777777777777777,1.2833333333333334,60.0,12.0
disjoint_hybrid_v8,normal_staggered,session_replay_jitter,1110.0,44.0,42.666666666666664,0.0,0.0,0.0,17.333333333333332,1.0,0.711111111111111,0.8251809243080991,0.0,0.0,0.9888888888888889,0.9305555555555556,0.925,1.4833333333333334,60.0,12.0
disjoint_hybrid_v8,normal_staggered,slow_credential_probe,1110.0,44.0,37.63333333333333,0.0,0.0,0.0,22.366666666666667,1.0,0.6272222222222222,0.7567818352700514,0.0,0.0,0.9722222222222222,0.8333333333333334,0.9222222222222223,2.25,60.0,12.0
