stage,dataset_size,seed,normal_scenario,challenge_threshold,warn_threshold,epochs_trained,validation_loss,tp,fp,total_policy_and_security_challenges,tn,fn,precision,event_challenge_recall,f1,roc_auc,pr_auc,challenge_fpr_total,unexpected_challenge_fpr,warn_or_higher_rate_total,sequence_detection_rate,preobjective_detection_rate,objective_detection_rate,median_time_to_detect_phase,normal_count,attack_phase_count,attack_sequence_count
temporal_mlp_only_v8,10,42,normal_staggered,0.9969483199282521,0.9802046179334618,96,0.06611085693113056,236,0,0,24,224,1.0,0.5130434782608696,0.6781609195402298,0.9588768115942029,0.9975796076574538,0.0,0.0,0.125,0.9891304347826086,0.7717391304347826,0.9456521739130435,2.0,24,460,92
disjoint_hybrid_v8,10,42,normal_staggered,0.9969483199282521,0.9802046179334618,96,0.06611085693113056,266,0,4,20,194,1.0,0.5782608695652174,0.7327823691460055,0.9588768115942029,0.9975796076574538,0.16666666666666666,0.0,0.2916666666666667,0.9891304347826086,0.7934782608695652,0.9456521739130435,2.0,24,460,92
temporal_mlp_only_v8,10,42,normal_nat_burst,0.9969483199282521,0.9802046179334618,96,0.06611085693113056,266,0,0,24,194,1.0,0.5782608695652174,0.7327823691460055,0.9895833333333334,0.9994355834671524,0.0,0.0,0.0,1.0,0.8152173913043478,0.9782608695652174,3.0,24,460,92
disjoint_hybrid_v8,10,42,normal_nat_burst,0.9969483199282521,0.9802046179334618,96,0.06611085693113056,295,0,4,20,165,1.0,0.6413043478260869,0.7814569536423841,0.9895833333333334,0.9994355834671524,0.16666666666666666,0.0,0.16666666666666666,1.0,0.8260869565217391,0.9782608695652174,2.0,24,460,92
temporal_mlp_only_v8,10,43,normal_staggered,0.9975812163850974,0.9238722364398964,81,0.049162825193738866,245,0,0,24,215,1.0,0.532608695652174,0.6950354609929079,0.9777173913043479,0.9985165234598816,0.0,0.0,0.08333333333333333,0.9130434782608695,0.8260869565217391,0.8478260869565217,3.0,24,460,92
disjoint_hybrid_v8,10,43,normal_staggered,0.9975812163850974,0.9238722364398964,81,0.049162825193738866,284,0,4,20,176,1.0,0.6173913043478261,0.7634408602150538,0.9777173913043479,0.9985165234598816,0.16666666666666666,0.0,0.20833333333333334,0.9130434782608695,0.8369565217391305,0.8913043478260869,2.0,24,460,92
temporal_mlp_only_v8,10,43,normal_nat_burst,0.9975812163850974,0.9238722364398964,81,0.049162825193738866,249,2,2,22,211,0.9920318725099602,0.5413043478260869,0.70042194092827,0.9442934782608696,0.9957753211406666,0.08333333333333333,0.08333333333333333,0.125,0.9456521739130435,0.8260869565217391,0.9021739130434783,3.0,24,460,92
disjoint_hybrid_v8,10,43,normal_nat_burst,0.9975812163850974,0.9238722364398964,81,0.049162825193738866,279,2,6,18,181,0.9928825622775801,0.6065217391304348,0.7530364372469637,0.9442934782608696,0.9957753211406666,0.25,0.1,0.2916666666666667,0.9456521739130435,0.8369565217391305,0.9130434782608695,3.0,24,460,92
temporal_mlp_only_v8,10,44,normal_staggered,0.9922045889809152,0.8689893344048522,77,0.033237428229095124,337,1,1,23,123,0.9970414201183432,0.7326086956521739,0.8446115288220551,0.9709239130434784,0.9982713757409427,0.041666666666666664,0.041666666666666664,0.3333333333333333,0.9891304347826086,0.9347826086956522,0.8695652173913043,1.0,24,460,92
disjoint_hybrid_v8,10,44,normal_staggered,0.9922045889809152,0.8689893344048522,77,0.033237428229095124,361,1,5,19,99,0.9972375690607734,0.7847826086956522,0.8783454987834549,0.9709239130434784,0.9982713757409427,0.20833333333333334,0.05,0.5,0.9891304347826086,0.9456521739130435,0.9021739130434783,1.0,24,460,92
