hour_of_day,day_of_week,hours_from_typical_login_time,is_thailand,is_new_country,country_change_count_30d,is_new_device,is_new_user_agent_family,log_minutes_since_last_login,login_count_24h,failed_logins_24h,passkey_count,passkey_age_days,new_passkey_recently_added,passkey_last_used_days,concurrent_session_count,active_subsystem_count,weekday_usage_score,scope_sensitivity_score,ever_changed_permission,permission_change_age,confirmed_incident_count,impossible_travel_score,label
8,6,2,1,0,0,1,1,4.160150679276351,1,0,2,201.87467790186332,0,7.520589473176467,1,1,0.686,0.0,1,290.0,0,0.01,0
17,4,2,1,0,0,0,0,6.457491592146953,4,0,0,0,0,0,0,0,0.398,0.148,1,203.0,0,0.04,0
14,2,0,1,0,0,0,0,4.984084414409941,2,0,0,0,0,0,2,1,0.426,0.0,1,131.7,0,0.017,0
14,3,0,1,0,0,0,0,4.3565334403227505,2,0,2,325.6025010032344,0,3.629740459123755,3,1,0.323,0.0,0,365.0,0,0.008,0
18,6,2,1,0,0,0,0,4.219191923802073,2,0,1,8.759070965108258,0,7.229670577875666,0,0,0.113,0.0,0,365.0,0,0.013,0
9,4,0,1,0,0,0,0,4.149946276663114,4,2,0,0,0,0,0,1,0.894,0.741,1,163.1,0,0.019,0
21,6,0,1,0,0,0,0,1.5966205500603081,6,0,0,0,0,0,0,1,0.634,0.883,1,147.6,0,0.024,0
10,0,0,1,0,0,0,0,-0.6570415054844609,1,0,0,0,0,0,3,0,0.873,0.0,1,74.0,0,0.027,0
9,3,1,1,0,0,0,0,1.618709394600863,4,0,0,0,0,0,0,2,0.256,0.375,0,365.0,0,0.005,0
5,3,0,1,0,0,1,0,2.7865439165557113,6,0,0,0,0,0,1,1,0.606,0.0,1,312.6,0,0.026,0
13,2,0,1,0,0,0,0,2.313507693027093,4,0,2,282.70475967752964,0,13.63758714078132,0,1,0.383,0.0,1,334.1,0,0.017,0
14,2,2,1,0,0,0,0,0.04821487486381759,1,0,1,181.73068675621673,0,3.60061137554428,1,2,0.9,0.0,0,365.0,0,0.024,0
17,6,0,1,0,1,0,0,1.0279585292707472,4,0,0,0,0,0,1,0,0.648,0.4,1,146.0,0,0.037,0
13,3,2,1,0,0,0,0,0.14685833636204304,6,0,0,0,0,0,0,1,0.179,0.0,0,365.0,0,0.026,0
8,3,3.8335312397153487,0,1,3,1,1,1.4802553365554196,1,0,0,0,0,0,2,2,0.643,0.191,0,365.0,0,0.697,1
14,5,0,1,0,0,0,0,1.387665323324736,1,0,1,397.6496297890717,0,1.537057680807789,3,1,0.416,0.79,1,101.1,0,0.041,0
